time,poa_global
2020-01-22-09:09:00,831.41
2020-01-22-10:09:00,910.04
2020-01-22-11:09:00,919.01
2020-01-22-12:09:00,760.21
2020-01-22-13:09:00,515.76
2020-01-22-14:09:00,384.24
2020-01-22-15:09:00,19.88
2020-01-22-16:09:00,0.0
2020-01-22-17:09:00,0.0
2020-01-22-18:09:00,0.0
2020-01-22-19:09:00,0.0
2020-01-22-20:09:00,0.0
2020-01-22-21:09:00,0.0
2020-01-22-22:09:00,0.0
2020-01-22-23:09:00,0.0
2020-01-23-00:09:00,0.0
2020-01-23-01:09:00,0.0
2020-01-23-02:09:00,0.0
2020-01-23-03:09:00,0.0
2020-01-23-04:09:00,0.0
2020-01-23-05:09:00,0.0
2020-01-23-06:09:00,150.95999999999998
2020-01-23-07:09:00,452.65999999999997
2020-01-23-08:09:00,660.0699999999999
2020-01-23-09:09:00,843.21
2020-01-23-10:09:00,960.8
2020-01-23-11:09:00,955.1899999999999
2020-01-23-12:09:00,834.8399999999999
2020-01-23-13:09:00,563.7
2020-01-23-14:09:00,413.6
2020-01-23-15:09:00,22.56
2020-01-23-16:09:00,0.0
2020-01-23-17:09:00,0.0
2020-01-23-18:09:00,0.0
2020-01-23-19:09:00,0.0
2020-01-23-20:09:00,0.0
2020-01-23-21:09:00,0.0
2020-01-23-22:09:00,0.0
2020-01-23-23:09:00,0.0
2020-01-24-00:09:00,0.0
2020-01-24-01:09:00,0.0
2020-01-24-02:09:00,0.0
2020-01-24-03:09:00,0.0
2020-01-24-04:09:00,0.0
2020-01-24-05:09:00,0.0
2020-01-24-06:09:00,162.37
2020-01-24-07:09:00,447.2
2020-01-24-08:09:00,658.54
2020-01-24-09:09:00,827.2
2020-01-24-10:09:00,914.49
2020-01-24-11:09:00,908.91
2020-01-24-12:09:00,771.62
2020-01-24-13:09:00,550.71
2020-01-24-14:09:00,419.87
2020-01-24-15:09:00,24.279999999999998
2020-01-24-16:09:00,0.0
2020-01-24-17:09:00,0.0
2020-01-24-18:09:00,0.0
2020-01-24-19:09:00,0.0
2020-01-24-20:09:00,0.0
2020-01-24-21:09:00,0.0
2020-01-24-22:09:00,0.0
2020-01-24-23:09:00,0.0
2020-01-25-00:09:00,0.0
2020-01-25-01:09:00,0.0
2020-01-25-02:09:00,0.0
2020-01-25-03:09:00,0.0
2020-01-25-04:09:00,0.0
2020-01-25-05:09:00,0.0
2020-01-25-06:09:00,144.02999999999997
2020-01-25-07:09:00,435.73
2020-01-25-08:09:00,657.3599999999999
2020-01-25-09:09:00,845.5
2020-01-25-10:09:00,946.0799999999999
2020-01-25-11:09:00,935.25
